,subject,response,p_val,size,avg,act_as,play_against,temp
872,72,50,3-Apr,11,average,human decision maker,human decision maker,0.75
873,73,64,3-Apr,11,average,human decision maker,human decision maker,0.75
874,74,50,3-Apr,11,average,human decision maker,human decision maker,0.75
875,75,45,3-Apr,11,average,human decision maker,human decision maker,0.75
876,76,50,3-Apr,11,average,human decision maker,human decision maker,0.75
877,77,67,3-Apr,11,average,human decision maker,human decision maker,0.75
878,78,67,3-Apr,11,average,human decision maker,human decision maker,0.75
879,79,22,3-Apr,11,average,human decision maker,human decision maker,0.75
880,80,67,3-Apr,11,average,human decision maker,human decision maker,0.75
881,81,50,3-Apr,11,average,human decision maker,human decision maker,0.75
882,82,22,3-Apr,11,average,human decision maker,human decision maker,0.75
883,83,50,3-Apr,11,average,human decision maker,human decision maker,0.75
884,84,30,3-Apr,11,average,human decision maker,human decision maker,0.75
885,85,35,3-Apr,11,average,human decision maker,human decision maker,0.75
886,86,57,3-Apr,11,average,human decision maker,human decision maker,0.75
887,87,50,3-Apr,11,average,human decision maker,human decision maker,0.75
888,88,48,3-Apr,11,average,human decision maker,human decision maker,0.75
889,89,50,3-Apr,11,average,human decision maker,human decision maker,0.75
890,90,55,3-Apr,11,average,human decision maker,human decision maker,0.75
891,91,37,3-Apr,11,average,human decision maker,human decision maker,0.75
892,92,50,3-Apr,11,average,human decision maker,human decision maker,0.75
893,93,25,3-Apr,11,average,human decision maker,human decision maker,0.75
894,94,51,3-Apr,11,average,human decision maker,human decision maker,0.75
895,95,33,3-Apr,11,average,human decision maker,human decision maker,0.75
896,96,45,3-Apr,11,average,human decision maker,human decision maker,0.75
897,97,42,3-Apr,11,average,human decision maker,human decision maker,0.75
898,98,50,3-Apr,11,average,human decision maker,human decision maker,0.75
899,99,33,3-Apr,11,average,human decision maker,human decision maker,0.75
900,100,45,3-Apr,11,average,human decision maker,human decision maker,0.75
